"統一編號","公司名稱","公司地址","公司狀態"
"70774816","仲信資融股份有限公司","臺北市內湖區內湖路一段392號6樓","01"
"04401392","華通電腦股份有限公司","桃園市蘆竹區新莊里大新路814巷91號","01"
"11917107","台灣聚合化學品股份有限公司","高雄市仁武區後安里鳳仁路330號","01"
"16832487","三信商業銀行股份有限公司","臺中市中區柳川里公園路32-1號","01"
"24060203","國產建材實業股份有限公司","臺北市內湖區新湖一路8號7樓","01"
"75339004","長興材料工業股份有限公司","高雄市三民區建工路578號","01"
"56680824","台灣艾司摩爾科技股份有限公司","新竹市公道五路三段1號11樓之1","01"
"23474649","兆豐證券股份有限公司","臺北市中正區忠孝東路二段95號3樓","01"
"03374306","國泰建設股份有限公司","臺北市大安區敦化南路二段218號2樓","01"
"50780207","海能國際投資股份有限公司","臺中市西屯區潮洋里市政北二路282號13樓之5","01"
"50898557","海能風力發電股份有限公司","臺中市西屯區潮洋里市政北二路282號13樓之5","01"
"23535744","國票綜合證券股份有限公司","臺北市大同區至聖里重慶北路三段199號地下1樓","01"
"22099890","元太科技工業股份有限公司","新竹科學園區新竹市力行一路3號","01"
"22100242","台灣福雷電子股份有限公司","高雄市楠梓區西五街10號","01"
"04212250","國喬石油化學股份有限公司","高雄市大社區興工路4號","01"
"11052709","三商投資控股股份有限公司","臺北市中山區建國北路二段145號地下1樓及1~18樓","01"
"28185226","台灣創新發展股份有限公司","臺北市士林區至善路2段11號1樓","01"
"50753356","泓策創業投資股份有限公司","臺北市信義區松高路1號4樓","01"
"68921101","京城商業銀行股份有限公司","臺南市中西區西門路1段506號","01"
"33085508","正隆股份有限公司","新北市板橋區民生路1段1號","01"
"14053007","潤泰全球股份有限公司","臺北市中山區八德路二段308號13樓之1","01"
"70789634","台新人壽保險股份有限公司","臺北市松山區南京東路五段161號10樓","01"
"94025264","中華紙漿股份有限公司","花蓮縣吉安鄉光華村光華街100號","01"
"03064421","中央投資股份有限公司","臺北市中山區八德路2段232號6樓","01"
"16744338","開發國際投資股份有限公司","臺北市松山區敦化北路135號8樓","01"
"12205020","中環股份有限公司","臺北市中山區民權西路53號15樓","01"
"50757389","泓勝投資股份有限公司","臺北市信義區松高路1號4樓","01"
"23641822","鄉林建設事業股份有限公司","臺中市西區忠明里臺灣大道2段408號1樓","01"
"50759485","泓順投資股份有限公司","臺北市信義區松高路1號4樓","01"
"66807809","茂德國際投資股份有限公司","新北市新店區安興路115號14樓之6","01"
"03358805","保誠人壽保險股份有限公司","臺北市信義區松智路1號8樓","01"
"80031413","遠東資源開發股份有限公司","臺北市大安區敦化南路二段207號34樓","01"
"03489200","裕隆汽車製造股份有限公司","苗栗縣三義鄉西湖村伯公坑39號之1","01"
"04406559","長榮國際儲運股份有限公司","桃園市桃園區經國路899號","01"
"70808864","台灣金聯資產管理股份有限公司","臺北市中山區中吉里南京東路二段85、87號11、12樓","01"
"27998148","中租汽車租賃股份有限公司","臺北市內湖區瑞光路362號5樓","01"
"22555003","統一超商股份有限公司","臺北市松山區東興路8號8樓","01"
"33405832","德州儀器工業股份有限公司","新北市中和區興南路1段142號","01"
"28754606","大成國際鋼鐵股份有限公司","臺南市仁德區義林路122號B棟","01"
"12526607","和桐化學股份有限公司","高雄市仁武區竹後里竹工二巷1號","01"
"84611899","深耕開發股份有限公司","臺北市中正區忠孝東路一段152號2樓","01"
"16694999","泛喬股份有限公司","高雄市大樹區學城路1段9號3樓","01"
"83504978","將來商業銀行股份有限公司","臺北市大安區敦化南路二段95號6、7、8、9樓","01"
"01456219","中央存款保險股份有限公司","臺北市中正區龍福里南海路3號11樓","01"
"83794245","樂天國際商業銀行股份有限公司","臺北市中山區松江路433號11樓","01"
"96978370","統正開發股份有限公司","高雄市前鎮區中華五路789號","01"
"84894989","台北大眾捷運股份有限公司","臺北市中山區民安里15鄰中山北路二段48巷7號1、2、4、5、6、7樓","01"
"07663290","力麗企業股份有限公司","臺北市中山區松江路162號11樓","01"
"22491640","櫻花建設股份有限公司","臺中市西區民龍里臺灣大道二段239號4樓","01"
"34149369","潤隆建設股份有限公司","臺北市中山區樂群二路267號8樓","01"
"63400932","豐泰企業股份有限公司","雲林縣斗六市科工八路52號","01"
"04382114","國際中橡投資控股股份有限公司","臺北市中山區中山北路二段113號8樓","01"
"03795101","台灣肥料股份有限公司","臺北市南港區經貿一路170號17樓","01"
"16441411","華瑋投資股份有限公司","臺北市北投區光明路167號7樓之2","01"
"28991447","欣光華股份有限公司","臺北市中山區八德路2段232號5樓","01"
"03701104","台灣土地開發股份有限公司","臺北市士林區至善路2段11號1樓","01"
"49744324","如興股份有限公司","臺北市松山區復興北路57號13樓之4","01"
"12373243","日勝生活科技股份有限公司","臺北市大同區市民大道1段209號14樓","01"
"59619900","建大工業股份有限公司","彰化縣員林市中山路一段146號","01"
"83404181","聖世股份有限公司","臺北市中山區松江路192號5樓","01"
"16441480","華旭投資股份有限公司","臺北市北投區光明路167號7樓之2","01"
"90543862","環球能源股份有限公司","臺北市松山區敦化北路122號7樓","01"
"97160544","漢翔航空工業股份有限公司","臺中市西屯區西平里24鄰漢翔路1號","01"
"54165289","富崴能源股份有限公司","新北市土城區中央路4段49號","01"
"16434734","華毓投資股份有限公司","臺北市北投區光明路167號7樓之2","01"
"89002500","台灣恩智浦半導體股份有限公司","高雄市楠梓區經五路10號","01"
"97168102","聯聚國際投資股份有限公司","臺北市內湖區基湖路37號12樓","01"
"22102473","佳格食品股份有限公司","臺北市內湖區瑞光路610號10樓","01"
"33955322","力鵬企業股份有限公司","臺北市中山區松江路162號6樓","01"
"50869130","台灣連線金融科技股份有限公司","臺北市內湖區瑞光路333號7樓","01"
"73008303","大成長城企業股份有限公司","臺南市永康區蔦松里蔦松二街3號","01"
